version,run_number,test_name,test_path,phase,duration_sec,total_test_time
after_careful_mock,38,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,call,0.02,0.1
after_careful_mock,38,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,setup,0.0,0.1
after_careful_mock,38,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_rhs_profile.py::Test suite for RHSSteelProfile.::Test the plot method (ensure it runs without errors).,setup,0.0,0.1
after_careful_mock,38,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_i_profile.py::Test suite for ISteelProfile.::Test the plot method (ensure it runs without errors).,setup,0.0,0.1
after_careful_mock,38,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,teardown,0.0,0.1
after_careful_mock,38,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_i_profile.py::Test suite for ISteelProfile.::Test the plot method (ensure it runs without errors).,teardown,0.0,0.1
after_careful_mock,38,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_rhs_profile.py::Test suite for RHSSteelProfile.::Test the plot method (ensure it runs without errors).,teardown,0.0,0.1
after_careful_mock,39,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_rhs_profile.py::Test suite for RHSSteelProfile.::Test the plot method (ensure it runs without errors).,call,0.03,0.1
after_careful_mock,39,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_i_profile.py::Test suite for ISteelProfile.::Test the plot method (ensure it runs without errors).,call,0.03,0.1
after_careful_mock,39,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,call,0.02,0.1
after_careful_mock,39,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,setup,0.0,0.1
after_careful_mock,39,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_rhs_profile.py::Test suite for RHSSteelProfile.::Test the plot method (ensure it runs without errors).,setup,0.0,0.1
after_careful_mock,39,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_i_profile.py::Test suite for ISteelProfile.::Test the plot method (ensure it runs without errors).,setup,0.0,0.1
after_careful_mock,39,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,teardown,0.0,0.1
after_careful_mock,39,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_rhs_profile.py::Test suite for RHSSteelProfile.::Test the plot method (ensure it runs without errors).,teardown,0.0,0.1
after_careful_mock,39,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_i_profile.py::Test suite for ISteelProfile.::Test the plot method (ensure it runs without errors).,teardown,0.0,0.1
after_careful_mock,40,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_i_profile.py::Test suite for ISteelProfile.::Test the plot method (ensure it runs without errors).,call,0.03,0.1
after_careful_mock,40,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_rhs_profile.py::Test suite for RHSSteelProfile.::Test the plot method (ensure it runs without errors).,call,0.03,0.1
after_careful_mock,40,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,call,0.02,0.1
after_careful_mock,40,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,setup,0.0,0.1
after_careful_mock,40,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_rhs_profile.py::Test suite for RHSSteelProfile.::Test the plot method (ensure it runs without errors).,setup,0.0,0.1
after_careful_mock,40,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_i_profile.py::Test suite for ISteelProfile.::Test the plot method (ensure it runs without errors).,setup,0.0,0.1
after_careful_mock,40,Test the plotting of the CHS profile shapes.,tests/structural_sections/steel/steel_cross_sections/test_chs_profile.py::Test suite for CHSSteelProfile.::Test the plotting of the CHS profile shapes.,teardown,0.0,0.1
after_careful_mock,40,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_i_profile.py::Test suite for ISteelProfile.::Test the plot method (ensure it runs without errors).,teardown,0.0,0.1
after_careful_mock,40,Test the plot method (ensure it runs without errors).,tests/structural_sections/steel/steel_cross_sections/test_rhs_profile.py::Test suite for RHSSteelProfile.::Test the plot method (ensure it runs without errors).,teardown,0.0,0.1
